name,billing_address,billing_city,billing_state,billing_zip,shipping_name,shipping_address,shipping_city,shipping_state,shipping_zip,print_as,contact_firstname,contact_lastname,contact_email,phone,type,
"Anson Mills - Columbia, SC",PO Box 50408,Columbia,SC,29250,Anson Mills ,1922 C Gervais Street,Columbia,SC,29201,Anson Mills ,Glenn,Roberts,info@ansonmills.com,(803) 467 4122,S,
"Bates Farm - Williston, SC",478 Dragonfly Road,Williston,SC,29583,Bates Farm ,478 Dragonfly Road,Williston,SC,29583,Bates Farm ,Rob,Bates,nlbates@tds.net,803.300.1422,S,
Black Pearl Farm - Branchville (GC),1411 Gervais Street,Columbia,SC,29201,Black Pearl Farm,1411 Gervais Street,Columbia,SC,29201,Black Pearl Farm,David,Anderson,david.anderson@cnsg.com,803-261-0274,S,
"Brant Family Farm - Grays, SC",3585 Pineland Road,Varnville,SC,29944,Brant Family Farm ,3585 Pineland Road,Varnville,SC,29944,Brant Family Farm ,Don,Brant,dhbrant@gmail.com,843-812-0084,S,
"Brewton Plantation - Yemassee, SC",4 Brewton Plantation Drive,Yemassee,SC,29945,Brewton Plantation ,4 Brewton Plantation Drive,Yemassee,SC,29945,Brewton Plantation ,Bruce,Smith,applesmith21@yahoo.com,774.217.2061,S,
"Brickyard Point Farms - Ladys Island, SC",PO Box 249,Port Royal,SC,29935,Brickyard Point Farms ,240 Johnson Landing Rd,Lady's Island,SC,29935,Brickyard Point Farms ,Jim,Rathbun,njrathbun@embarqmail.com,703-915-5208,S,
"Bugtussle Farms - Awendaw, SC",4650 Woodville Rd.,Awendaw,SC,29429,Joanne Falkner,4650 Woodville Rd.,Awendaw,SC,29429,Joanne Falkner,Jody,Falkner,joannefalkner@gmail.com,843-224-7959,S,
"Bulls Bay Saltworks - McClellanville, SC",PO Box 656,McClellanville,SC,29458,Bulls Bay Saltworks ,906 Skeebs St.,McClellanville ,SC,29458,Bulls Bay Saltworks ,Teresa,Gooden,teresa@bullsbaysaltworks.com,843-226-3360,S,
"Burbage Farms - Varnville, SC",14 Lockwood Drive,Charleston,SC,29401,John Burbage,14 Lockwood Drive,Charleston,SC,29401,John Burbage,John,Burbage,jburbage@postandcourier.com,843-607-1069,S,
"Burden Creek Dairy - Johns Island, SC",2755 Exchange Landing Rd,Johns Island,SC,29455,"Burden Creek Dairy, LLC",2755 Exchange Landing Rd,Johns Island,SC,29455,"Burden Creek Dairy, LLC",Chris,Maher,ChrisMaher22@me.com,843-822-4998,S,
"Butternut Ranch - Summerville, SC",409 W. Butternut Rd.,Summerville,SC,29483,Aaron Lucas,409 W. Butternut Rd.,Summerville,SC,29483,Aaron Lucas,Aaron,Lucas,amy.graul@gmail.com,843-822-4998,S,
"Busy Boys Produce - Cameron, SC",5650 Cameron Rd.,Cameron,SC,29030,"Busy Boys Produce, LLC",5650 Cameron Rd.,Cameron,SC,29030,"Busy Boys Produce, LLC",Edward,Miller,edwardmiller360@gmail.com,803-682-3613,S,
"Cannon Farm - Moncks Corner, SC",854 Pompous Lane,Moncks Corner,SC,29461,Cannon Farm ,854 Pompous Lane,Moncks Corner,SC,29461,Cannon Farm ,Justin,Cannon,justincannon51@gmail.com,864-784-6176,S,
"CARE Farm - Smoaks, SC",5775 Wyncliff Rd,North Charleston,SC,29418,Janice Bohac ,216 Community Ave,Smoaks,SC,29487,Janice Bohac ,Janice,Bohac,JBohacCAREnergy@aol.com,843.209.9210,S,
"Carolina Plantation-Darlington, SC",Post Office Box 505,Darlington,SC,29532,Carolina Plantation,1515 Mont Clare Rd,Darlington,SC,29540,Carolina Plantation,Campbell,Price,rice@carolinaplantationrice.com,(843) 395-8058,S,
"C-Breeze Farm - Nesmith, SC",221 Nelious Lane,Nesmith,SC,29580,John Culbreath,221 Nelious Lane,Nesmith,SC,29580,John Culbreath,John,Culbreath,John.Culbreath@yahoo.com,(843) 382-4068,S,
Charleston Artisan Cheesehouse,2457 Ashley River Rd,Charleston,SC,29407,Charleston Artisan Cheesehouse,2457 Ashley River Rd,Charleston,SC,29407,Charleston Artisan Cheesehouse,Pete,Holmes,chscheesehouse@charlestoncheesehouse.com,843.608.9118,S,
"City Roots - Columbia, SC (GC)",1005 Airport Blvd,Columbia,SC,29205,City Roots,1005 Airport Blvd,Columbia,SC,29205,City Roots,Eric,McClam,eric@cityroots.org,803.254.2302,S,
Clemson U Student Organic Farm,E143 Poole Bldg,Clemson,SC,29634,Clemson U Student Organic Farm,E143 Poole Bldg,Clemson,SC,29634,Clemson University ,Shawn,Jadrnicek,sjadrnicek@gmail.com,864-457-8006,S,
"Compost In My Shoe - Johns Island, SC",3955 Betsy Kerrison Parkway,Charleston,SC,29455,Compost In My Shoe,3955 Betsy Kerrison Parkway,Charleston,SC,29455,Compost In My Shoe,Jim,Martin,jim@compostinmyshoe.com,843-270-5804,S,
"Creek Road Farm - Pineland, SC",PO Box 1,Pineland,SC,29934,Creek Road Farm,PO Box 1,Pineland,SC,29934,Creek Road Farm,Alex,Ryzy-Ryski,creekroadfarmsc@gmail.com,843-540-2210,S,
"Crescent Farm - Clinton, SC",868 Cain Road,Laurens,SC,29360,Crescent Farm,868 Cain Road,Laurens,SC,29360,Crescent Farm,Holly,Welch,crescentfarmsc@gmail.com,803-667-0867,S,
"Cypress Hill Farm - Ridgeville, SC",142 Cypress Hill Lane,Ridgeville,SC,29472,Cypress Hill Farm,142 Cypress Hill Lane,Ridgeville,SC,29472,Cypress Hill Farm,Bernd,Gronert,bgron13261@aol.com,843.851.1741,S,
"Daniel Farms - Lake City, SC",704 Roper Woods Rd,Lake City,SC,29560,Meredith Sims,704 Roper Woods Rd,Lake City,SC,29560,Meredith Sims,Meredith,Sims,meredithdanielsims@yahoo.com,843.616.2063,S,
"Dickson's Organics - Timmonsville, SC",2515 McElveen Lane,Effingham,SC,29541,Dickson's Organics ,2515 McElveen Lane,Effingham,SC,29541,Dickson's Organics ,Jannie,Dickson,dicksoneffn@aol.com,843.245.0407 ,S,
"DMF Farms - Sumter, SC","584 Bultman Dr., Unit #2",Sumter,SC,29150,Michael R. Dellinger,"584 Bultman Dr., Unit #2",Sumter,SC,29150,Michael R. Dellinger,Michael,Dellinger,farmstoresumter@aol.com,803-464-1374,S,
"Dogwood Farm - James Island, SC",446 Martello Dr,Charleston,SC,29412,Marty Thomas,446 Martello Dr,Charleston,SC,29412,Marty Thomas,Marty,Thomas, ,843-795-5745,S,
"Dotson Farms - Conway, SC",4225 Hwy 19,Conway,SC,29526,Jeffrey B. Dotson,4225 Hwy 19,Conway,SC,29526,Jeffrey B. Dotson,Jeff,Dotson,jeffdotson68@gmail.com,843-516-2166,S,
"Dragon Bluff Farm - James Island, SC",1922 Maybank Hwy,Charleston,SC,29412,Barre Butler,1922 Maybank Hwy,Charleston,SC,29412,Barre Butler,Barre,Butler,barre.butler@stifel.com,,S,
"Eastover Nut Farm - Eastover, SC",2021 Old Eastover Rd.,Eastover,SC,29044,Michael Peterson,2021 Old Eastover Rd.,Eastover,SC,29044,Michael Peterson,Michael,Peterson,Michael@eastovernutfarm.com,803-466-4108,S,
"EVO Craft Bakery - N. Charleston, SC",1075 East Montague,North Charleston,SC,29405,EVO Craft Bakery ,1075 East Montague,North Charleston,SC,29405,EVO Craft Bakery ,Matt,McIntosh,matt@evopizza.com,843.225.1796,S,
"Fairlawn Farm - Moncks Corner, SC",1205 Dennis Blvd,Moncks Corner,SC,29461,Fairlawn Farm ,1205 Dennis Blvd,Moncks Corner,SC,29461,Fairlawn Farm ,Perry,Hall,filmpencil@homesc.com,843.214.9564,S,
"Farm 418-Mount Pleasant, SC",418 Hobcaw Drive,Mount Pleasant,SC,29464,Frances Pearce,418 Hobcaw Drive,Mount Pleasant,SC,29464,Frances Pearce,Frances,Pearce,francesjpearce@att.net,843.819.2737,S,
"Fat Worm Farm - Johns Island, SC",2541 Winnies Way,Johns Island,SC,29455,Fat Worm Farm,2541 Winnies Way,Johns Island,SC,29455,,Jude ,Coco,judecoco31@hotmail.com,512-539-8139,S,
"Forest Booty - Charleston, SC","990 Morrison Dr., Forager #9",Charleston,SC,29403,Jessica Diaz,"990 Morrison Dr., Forager #9",Charleston,SC,29403,Jessica Diaz,Jessica,Diaz,jessicad@growfoodcarolina.com,803-429-6468,S,
"Fort Farms - Shulerville, SC",1100 Fortview Road,Shulerville,SC,29453,Wallace Fort,1100 Fortview Road,Shulerville,SC,29453,Wallace Fort,Wallace,Fort,fortamandaricky@aol.com,843-991-2347,S,
"Fresh Lowcal - Johns Island, SC",Address,Johns Island,SC,,Fresh Lowcal,,Johns Island,SC,,Fresh Lowcal,Brad,Schaffer,southgreencarolina1@gmail.com,843-991-0750,S,
"Gallop Farms - Ehrhardt, SC",4832 Rivers Bridge Rd.,Ehrhardt,SC,29081,Gallop Farms,4832 Rivers Bridge Rd.,Ehrhardt,SC,29081,Gallop Farms,Jerry ,Gallop,,,S,
"GrowFood Goods - Charleston, SC ",990 Morrison Drive,Charleston,SC,29403,GrowFood Carolina Urban Farm,990 Morrison Drive,Charleston,SC,29403,GrowFood Carolina Urban Farm,Sara,Clow,sarac@growfoodcarolina.com,843-727-0091,S,
"Henry Farms - St Helena, SC (GC)",45 Tom Fripp Rd,St Helena Island,SC,29920,Craig Henry,45 Tom Fripp Rd,St Helena Island,SC,29920,Craig Henry,Craig,Henry,henryfarms3@embarqmail.com,843-521-3826,S,
"Heritage Farms - Norway, SC",PO Box 2,Norway,SC,29113,Heritage Farm ,PO Box 2,Norway,SC,29113,Heritage Farm ,Martin,William,heritagefarmsllc@yahoo.com,803-682-0043,S,
Hickory Bluff Farm-Holly Hill (GC),245 Hickory Bluff Road,Holly Hill,SC,29059,Hickory Bluff Berry Farm,245 Hickory Bluff Road,Holly Hill,SC,29059,Hickory Bluff Berry Farm,Walter,Earley,hickorybluff@gmail.com,(843) 743-8244,S,
"Hickory Hill Farm-Edgefield, SC",7 Hickory Hill Lane,Edgefield,SC,29824,Hickory Hill Farm,150 Faulkner Mountain Road ,Edgefield,SC,29824,Hickory Hill Farm,Watson or Lisa,Dorn,hhfmilk@spiritcom.net,(803)275-6141,S,
"High House Farm-Charleston, SC",129 Bull St.,Charleston,SC,29401,George B Del Porto,129 Bull St.,Charleston,SC,29401,George B Del Porto,George B,Del Porto,blugrasnut@aol.com,843-412-0554,S,
"Hobby Farms - Pineland, SC",1915 Calf Pen Bay Rd.,Pineland,SC,29934,Hobby Farms ,1915 Calf Pen Bay Rd.,Pineland,SC,29934,Hobby Farms ,Keith,Floyd,floydracing21@hotmail.com,843-717-2496,S,
"Hokuwa Oyate Farm - Edisto, SC",PO Box 34,Edisto Island,SC,29438,Elin Elliott,PO Box 34,Edisto Island,SC,29438,Elin Elliott,Elin,Elliott,elinohlsson@hotmail.com,843.869.1937  ,S,
"Holy City Farms- Wadmalaw, SC",4949 Maybank Hwy,Wadmalaw Island,SC,29487,Holy City Farms,4949 Maybank Hwy,Wadmalaw Island,SC,29487,Holy City Farms,Shawn,Ransford,shawn@holycityfarms.com,843.670.2516,S,
"Horsecreek Honey Farm - Bowman, SC",3300 Landsdowne Road,Bowman,SC,29018,Horsecreek Honey Farm,3300 Landsdowne Road,Bowman,SC,29018,Horsecreek Honey Farm,Kathy,Bayer,horsecreekhoney@gmail.com,843-226-2241,S,
"Hudson Family Farm - Rowesville, SC",173 Fox Chase Dr.,Goose Creek,SC,29445,Hudson Family Farm ,173 Fox Chase Dr.,Goose Creek,SC,29445,Hudson Family Farm ,Edward,Hudson,ehudson@hudsonfamilyfarmsc.com,843-200-7275,S,
"Island Tomato Growers - Johns Island, SC",Legareville Rd.,Johns Island,SC,29455,Fresh Lowcal,Legareville Rd.,Johns Island,SC,29455,Fresh Lowcal,Brad,Schaffer,southgreencarolina1@gmail.com,843-991-0750,S,
James Long Jr. Farm - Varnville (GC),8925 Browning Gate Rd.,Varnville,SC,29944,James Long Jr.,8925 Browning Gate Rd.,Varnville,SC,29944,James Long Jr.,James,Long,vkinardlong@yahoo.com,803-625-4450,S, 
"Josh's Peanuts-Cameron, SC",9300 Old State Rd,Cameron,SC,29030,Josh's Peanuts,9300 Old State Rd,Cameron,SC,29030,Josh's Peanuts,Josh,Johnson,farmerjoshjohnson@yahoo.com,803.682.6040,S,
"Kurios Farms - Moncks Corner, SC",354 Kurios Lane,Moncks Corner,SC,29461,Kurios Farms ,354 Kurios Lane,Moncks Corner,SC,29461,Kurios Farms ,Wes,Melling,kuriosfarms@aol.com,Wes-8435090473,S,
"Ladson Farm - St. Helena, SC ",45 Ladson Rd,St. Helena,SC,29920,Jack Ladson,45 Ladson Rd,St. Helena,SC,29920,Jack Ladson,Reverand Jack,Ladson,revjack@gmail.com,843-812-5105,S, 
"Lavington Farms - Green Pond, SC",P.O. Box 20040,Charleston,SC,29413,Lavington Farms LLC,P.O. Box 20040,Charleston,SC,29413,Lavington Farms LLC,Jimmy,Hagood,jimmyhagood@foodforthesouthernsoul.com,843 224 1243,S,
"Lavington Foragers - Green Pond, SC",P.O. Box 30279,Charleston,SC,29417,Jimmy Hagood-DHEC-#14,P.O. Box 30279,Charleston,SC,29417,Jimmy Hagood,Jimmy,Hagood ,jimmyhagood@foodforthesouthernsoul.com,843 224 1243,S,
"Legare Farms - John's Island, SC",2620 Hanscombe Point Road,Charleston,SC,29455,Legare Farms ,2620 Hanscombe Point Road,Charleston,SC,29455,Legare Farms ,Helen,Legare,legarefarms@bellsouth.net,(843) 559-3524,S,
"Lowcountry Creamery - Bowman, SC",2741 Landsdowne Rd.,Bowman,SC,29018,Lowcountry Creamery ,2741 Landsdowne Rd.,Bowman,SC,29018,Lowcountry Creamery ,Patrick,Myers,info@lowcountrycreamery.com,803-924-2201,S,
