"description","org_types","section","action","plan_ids","published","help_text","grouping"
"Routing_Plan:Index","{A,M}","routing_plan","index","{3}","t","",""
"Product_Fees:Index","{A,M}","product_fees","index","{3}","t","",""
"Template:Index","{A,M,B}","template","index","{3}","t","",""
"Promotion:Index","{A,M}","promotion","index","{2,3}","t","",""
"Financial:Index","{A,M,B,S}","financial","index","{1,2,3}","t","",""
"Order_Item:Index","{A,M,S}","order_item","index","{1,2,3}","t","",""
"Qlik:Index","{A,M}","qlik","index","{4}","t","",""
"Fresh_Sheet:Index","{A,M}","fresh_sheet","index","{1,2,3}","t","",""
"Admin_Cross_Selling:Index","{A}","admin_cross_selling","index","{0}","t","",""
"Newsletter:Index","{A,M}","newsletter","index","{1,2,3}","t","",""
"Payment_History:Index","{A,M,B,S}","payment_history","index","{1,2,3}","t","",""
"Catalog:Index","{A,M,B,S}","catalog","index","{1,2,3}","t","",""
"About:Index","{A,M,B,S}","about","index","{1,2,3}","t","",""
"Custom_Background:Index","{A,M}","custom_background","index","{0}","t","",""
"Merge_Order:Index","{A,M}","merge_order","index","{3}","t","",""
"Order_Minimum:Index","{A,M}","order_minimum","index","{2,3}","t","",""
"Advanced_Delivery_Cycles:Index","{A,M}","advanced_delivery_cycles","index","{3}","t","",""
"Dup_Order:Index","{A,M}","dup_order","index","{3}","t","",""
"Import:index","{A,M}","import","index","{3}","t","",""
"Market_Category_Fees:Index","{A,M}","market_category_fees","index","{3}","t","",""
"Discount_Code:Index","{A,M}","discount_code","index","{2,3}","t","",""
"User_Organization:Index","{A,M,B,S}","user_organization","index","{1,2,3}","t","",""
"Order:Index","{A,M,S}","order","index","{1,2,3}","t","",""
"Delivery:Index","{A,M,S}","delivery","index","{1,2,3}","t","",""
"Delivery_Schedule:Index","{A,M,S}","delivery_schedule","index","{1,2,3}","t","",""
"Product:Index","{M,S}","product","index","{1,2,3}","t","",""
"Sent_Email:Index","{A}","sent_email","index","{1,2,3}","t","",""
"Email_Test:Index","{A}","email_test","index","{1,2,3}","t","",""
"Report:Index","{A,M,B,S}","report","index","{1,2,3}","t","",""
"Referral:Index","{A}","referral","index","{1,2,3}","t","",""
"Metric:Index","{A}","metric","index","{1,2,3}","t","",""
"Purchase_History:Index","{B}","purchase_history","index","{1,2,3}","t","",""
"Market_Custom_Branding:Index","{A,M}","market_custom_branding","index","{2,3}","t","",""
"Market_Cross_Selling:Index","{A,M}","market_cross_selling","index","{2,3}","t","",""
"Organization_Cross_Selling:Index","{S}","organization_cross_selling","index","{2,3}","t","",""
"Market_Fees:Index","{A,M}","market_fees","index","{2,3}","t","",""
"Advanced_Pricing:Index","{A,M}","advanced_pricing","index","{2,3}","t","",""
"All_Supplier:Index","{A,M,B,S}","all_supplier","index","{1,2,3}","t","",""
"Market_Profile:Index","{A,M}","market_profile","index","{1,2,3}","t","",""
"Market_Manager:Index","{A,M}","market_manager","index","{1,2,3}","t","",""
"Market_Address:Index","{A,M}","market_address","index","{1,2,3}","t","",""
"Advanced_Inventory:Index","{A,M,S}","advanced_inventory","index","{2,3}","t","",""
"Market_Deliveries:Index","{A,M}","market_deliveries","index","{1,2,3}","t","",""
"Market_Payment_Methods:Index","{A,M}","market_payment_methods","index","{1,2,3}","t","",""
"Market_Deposit_Accounts:Index","{A,M}","market_deposit_accounts","index","{1,2,3}","t","",""
"Market_Fees:Index","{A,M}","market_fees","index","{1,2,3}","t","",""
"Financial_Overview:index","{M,B,S}","financial_overview","index","{1,2,3}","t","",""
"Send_Invoices:Index","{A,M}","send_invoices","index","{1,2,3}","t","",""
"Enter_Receipts:Index","{A,M}","enter_receipts","index","{1,2,3}","t","",""
"Record_Payments:Index","{A,M}","record_payments","index","{1,2,3}","t","",""
"Review_Invoices:Index","{B}","review_invoices","index","{1,2,3}","t","",""
"Market_Stripe:Index","{A,M}","market_stripe","index","{1,2,3}","t","",""
"Dashboard:Index","{A,M,B,S}","dashboard","index","{1,2,3}","t","",""
"Market:Index","{A,M}","market","index","{1,2,3}","t","",""
"Organization:Index","{A,M}","organization","index","{1,2,3}","t","",""
"User:Index","{A,M}","user","index","{1,2,3}","t","",""
"Role:Index","{A}","role","index","{1,2,3}","t","",""
"Unit:Index","{A}","unit","index","{1,2,3}","t","",""
"Event:Index","{A}","event","index","{1,2,3}","t","",""
"Taxonomy:Index","{A}","taxonomy","index","{1,2,3}","t","",""
"Internal_Financial:Index","{A}","internal_financial","index","{1,2,3}","t","",""
"Segmented_Inventory:Index","{A,M,S}","segmented_inventory","index","{3}","t","",""
"Market_Storage_Locations:Index","{A,M}","market_storage_locations","index","{0}","t","",""
"Lot:Index","{A}","lot","index","{0}","t","",""
