cat_id,parent_id,cat_name,order_by
1,NULL,"Root Catalog",100
2,1,"Default Category",100
3,2,"Beverages",16
4,3,"Specialty",100
5,3,"Soy Milk",100
6,3,"Rice Milk",100
7,3,"Cider & Juice",100
8,7,"Vegetable Juice",100
9,3,"Coffee, Tea, & Cocoa",100
10,3,"Beer, Wine, & Spirits",100
11,7,"Fruit Juice",100
12,9,"Tea",100
13,2,"Breads & Baked Goods",7
14,13,"Pastries",100
15,13,"Cookies & Cakes",100
16,13,"Bread & Rolls",100
17,16,"Whole Wheat Bread",100
18,16,"Spelt Bread",100
19,16,"Rye Bread",100
20,16,"Raisin Bread",100
21,16,"Pita Bread",100
22,16,"Multigrain Bread",100
23,16,"Hot Dog Buns",100
24,16,"Hamburger Buns",100
25,16,"Focaccia",100
26,16,"Challah",100
27,16,"Baguette",100
28,2,"Breakfast",100
29,2,"Chocolate & Sweets",12
30,2,"Condiments, Sauces & Sweeteners",13
31,30,"Syrup",100
32,30,"Sugar",100
33,30,"Sauces",100
34,30,"Honey",100
35,2,"Dairy, Cheese & Eggs",3
36,35,"Yogurt",100
37,35,"Milk & Cream",100
38,37,"Sheep",100
39,35,"Eggs",100
40,39,"Quail Eggs",100
41,35,"Cheese",100
42,41,"Sheep",100
43,41,"Goat",100
44,43,"Goats Milk Gouda",100
45,41,"Cow",100
46,36,"Sheep",100
47,36,"Goat",100
48,36,"Cow",100
49,48,"Plain Low Fat Yogurt",100
50,37,"Goat",100
51,50,"Goats Milk",100
52,37,"Cow",100
53,39,"Duck Eggs",100
54,39,"Chicken Eggs",100
55,54,"White Eggs",100
56,35,"Specialty Eggs",100
57,42,"Manchego",100
58,43,"Feta",100
59,45,"Cheddar",100
60,54,"Brown Eggs",100
61,60,"Large Brown Eggs",100
62,2,"Dried Fruits & Nuts",6
63,62,"Raisins, Golden",100
64,62,"Raisins, Black",100
65,62,"Prunes",100
66,62,"Dried Tart Cherries",100
67,62,"Dried Sweet Cherries",100
68,62,"Dried Figs",100
69,62,"Dried Cranberries",100
70,62,"Dried Blueberries",100
71,62,"Dried Apricots",100
72,62,"Dried Apples",100
73,2,"Fish & Seafood",5
74,73,"Frozen",100
75,74,"White Fish",100
76,74,"Walleye",100
77,74,"Trout",100
78,74,"Tilapia",100
79,74,"Squid",100
80,74,"Shrimp",100
81,74,"Scallops",100
82,74,"Sardines",100
83,74,"Salmon",100
84,74,"Pickerel",100
85,74,"Perch",100
86,74,"Oysters",100
87,74,"Mussels",100
88,74,"Mackerel",100
89,74,"Lobster",100
90,73,"Fresh",100
91,90,"White Fish",100
92,90,"Walleye",100
93,90,"Trout",100
94,90,"Tilapia",100
95,90,"Squid",100
96,90,"Shrimp",100
97,90,"Scallops",100
98,90,"Sardines",100
99,90,"Salmon",100
100,90,"Pickerel",100
101,90,"Perch",100
102,90,"Oysters",100
103,90,"Mussels",100
104,90,"Mackerel",100
105,90,"Lobster",100
106,74,"Crabs",100
107,74,"Clams",100
108,74,"Catfish",100
109,74,"Anchovies",100
110,90,"Crabs",100
111,90,"Clams",100
112,90,"Catfish",100
113,90,"Anchovies",100
114,2,"Flours & Baking Needs",8
115,114,"Specialty Flour",100
116,114,"Rye Flour",100
117,114,"Pastry Flour",100
118,114,"Corn Meal",100
119,114,"Bread Flour",100
120,114,"Baking Mixes",100
121,2,"Fruits",1
122,121,"Tropical & Specialty",100
123,121,"Stone Fruit",100
124,121,"Pears",100
125,121,"Melons",100
1027,125,"Watermelon",100
128,121,"Grapes",100
129,128,"Red Grapes",100
130,128,"Green Grapes",100
131,121,"Citrus",100
132,131,"Oranges & Tangerines",100
133,132,"Satsumas",100
134,131,"Limes",100
135,131,"Lemons",100
136,131,"Grapefruit",100
137,121,"Berries & Cherries",100
138,137,"Yellow Raspberries",100
139,137,"Tart Cherries",100
140,137,"Red Raspberries",100
141,137,"Red Currants",100
142,137,"Rainer Cherries",100
143,137,"Gooseberries",100
144,137,"Dark Red Cherries",100
145,137,"Cranberries",100
146,137,"Blueberries",100
147,137,"Blackberries",100
148,137,"Black Currants",100
149,121,"Bananas",100
150,121,"Apples",100
151,150,"Macintosh Apples",100
152,150,"Jonagold Apples",100
153,150,"Gala Apples",100
154,150,"Empire Apples",100
155,122,"Paw Paw",100
156,123,"Pluots",100
157,123,"Plums",100
158,123,"Peaches",100
159,123,"Nectarines",100
160,123,"Apricots",100
161,125,"Honeyrock Melon",100
162,125,"Honeydew Melon",100
163,125,"Casaba Melon",100
164,125,"Canteloupe (Muskmelon)",100
165,128,"Champagne Grapes",100
166,128,"Black Grapes",100
167,132,"Navel Oranges",100
168,2,"Gift Cards",100
169,2,"Meat & Poultry",4
170,169,"Cured Meats",100
171,849,"Sausage",100
172,169,"Fresh",100
173,172,"Venison",100
174,172,"Turkey",100
175,172,"Rabbit",100
176,172,"Pork",100
177,845,"Italian, Sweet",100
178,845,"Italian, Spicy",100
179,846,"Sausage",100
180,172,"Duck",100
181,172,"Chicken",100
182,181,"Whole Chicken, Roaster",100
183,181,"Whole Chicken, Fryer",100
184,172,"Buffalo",100
185,172,"Beef",100
186,2,"Oils & Vinegars",14
187,186,"Vinegars",100
188,187,"White Vinegar",100
189,186,"Oils",100
190,189,"Olive Oil",100
191,187,"Flavored & Herbed Vinegar",100
192,187,"Cider Vinegar",100
193,187,"Balsamic Vinegar",100
194,189,"Nut Oil",100
195,189,"Flavored & Herbed Oil",100
196,2,"Pasta, Rice, Grains & Dried Beans",9
197,196,"Rice",100
198,197,"Wild Rice",100
199,196,"Quinoa",100
200,199,"Yellow Quinoa",100
201,199,"Red Quinoa",100
202,196,"Polenta",100
203,196,"Pasta",100
204,196,"Oats",100
205,196,"Millet",100
206,196,"Beans",100
207,206,"Pinto Beans",100
208,206,"Navy Beans",100
209,206,"Black Beans",100
210,197,"Jasmine Rice",100
211,197,"Brown Rice",100
212,197,"Basmati Rice",100
213,197,"Arborio Rice",100
214,203,"Fresh Pasta",100
215,214,"Spaghetti",100
216,214,"Shells",100
217,214,"Linguini",100
218,214,"Lasagna",100
219,203,"Dried Pastas",100
220,219,"Spaghetti",100
221,219,"Shells",100
222,219,"Linguini",100
223,219,"Lasagna",100
224,206,"Adzuki Beans",100
225,2,"Prepared Foods",10
226,2,"Spices & Seasonings",15
227,2,"Vegetables",2
228,227,"Tomatoes",100
229,237,"Sprouts & Microgreens",100
230,229,"Sunflower Sprouts",100
231,227,"Specialty Vegetables",100
232,227,"Potatoes & Root Vegetables",100
233,232,"Turnips",100
234,227,"Onions & Garlic",100
1041,234,"Scallions",100
236,227,"Mushrooms",100
237,227,"Lettuces, Leafy Greens & Sprouts",100
238,237,"Leafy Greens",100
239,227,"Fresh Herbs",100
240,227,"Eggplants, Peppers & Okra",100
241,227,"Cucumbers, Squash & Pumpkins",100
242,241,"Winter Squash",100
243,227,"Corn",100
244,408,"Silver Queen (White) Sweet Corn",100
245,227,"Carrots & Celery",100
246,245,"Celery",100
247,227,"Broccoli, Cauliflower & Cabbage",100
248,247,"Cabbage",100
1048,838,"Pretzels",100
1049,150,"Golden Delicious Apples",100
1050,550,"Cherry Bomb Peppers",100
254,227,"Beans & Peas",100
255,474,"Yellow Wax Beans",100
256,475,"Snap Peas",100
257,474,"Purple String Beans",100
258,254,"Pea Pods",100
259,474,"Kentucky Wonder Beans",100
260,474,"Haricot Vert",100
261,475,"Green Peas",100
262,474,"Fava Beans",100
263,474,"Cannelini Beans",100
264,227,"Artichokes, Asparagus, & Avocados",100
265,228,"Sungold Tomatoes",100
266,228,"Pineapple Tomatoes",100
267,228,"Brandywine Tomatoes",100
268,229,"Radish Sprouts",100
269,229,"Pea Shoots",100
270,229,"Microgreen Mix",100
271,229,"Bean Sprouts",100
272,232,"Potatoes",100
273,272,"Yellow Finn Potatoes",100
274,272,"Rose Finn Fingerling Potatoes",100
275,272,"Red Potatoes",100
276,232,"Parsnips",100
277,232,"Jerusalem Artichokes",100
278,232,"Daikon",100
279,232,"Beets",100
280,279,"Lutz Salad Beets",100
281,279,"Detroit Red Beets",100
282,279,"Chioggia Beets",100
283,233,"Turnips, Purple",100
284,239,"Cilantro",100
285,241,"Cucumbers",100
286,285,"Pickling Cucumbers",100
287,285,"Lemon Cucumbers",100
288,285,"Green Cucumbers",100
289,242,"Spaghetti Squash",100
290,242,"Pumpkin",100
291,242,"Delicata Squash",100
292,242,"Butternut Squash",100
293,242,"Acorn Squash",100
294,245,"Carrots, Baby",100
295,285,"Cornichons",100
296,285,"Armenian Cucumbers",100
297,550,"Red Bell Peppers",100
298,264,"Asparagus",100
1034,740,"Rack of Lamb",100
301,550,"Green Chili Peppers",100
1046,1044,"Pottery",100
845,731,"Sausage",100
304,45,"Mozzarella",100
305,52,"Whole Milk",100
306,13,"Muffins & Scones",100
307,60,"Small Brown Eggs",100
308,60,"Medium Brown Eggs",100
309,54,"Blue Eggs",100
310,185,"Ground Beef",100
311,225,"Soups",100
312,225,"Sauces",100
313,45,"Stilton",100
314,52,"Lowfat Milk (2%)",100
315,238,"Swiss Chard",100
316,539,"Italian Parsley",100
317,346,"Basil, Genovese",100
318,228,"Plum Tomatoes",100
319,238,"Collards",100
320,264,"Avocados",100
321,47,"Goats Milk Yogurt",100
322,176,"Pork Tenderloin",100
323,172,"Lamb",100
324,189,"Vegetable Oil",100
325,324,"Sunflower Oil",100
326,1,"ann-arbor",100
327,45,"Gouda",100
328,11,"Cherry Juice",100
329,11,"Apple Cider",100
330,48,"Whole Milk Yogurt",100
331,45,"Blue Cheese",100
332,508,"Walnuts",100
333,508,"Pecans",100
334,508,"Hazelnuts",100
335,550,"Orange Bell Peppers",100
336,239,"Thyme",100
337,239,"Rosemary",100
338,239,"Chives",100
339,28,"Pancake Mix",100
340,13,"Granola",100
341,30,"Salad Dressing",100
342,247,"Cauliflower",100
343,408,"Bi-color Sweet Corn",100
344,247,"Broccoli",100
345,228,"Grape Tomatoes",100
346,239,"Basil",100
347,231,"Bok Choy",100
348,54,"Rainbow Mix Eggs",100
349,237,"Lettuce & Salad Greens",100
350,349,"Arugula (Rocket)",100
351,238,"Spinach",100
352,238,"Tat Soi",100
353,231,"Maruba Santoh (Chinese Cabbage)",100
354,247,"Maruba Santoh",100
355,228,"Red Slicing Tomatoes",100
356,56,"Ostrich Eggs",100
357,56,"Emu Eggs",100
358,225,"Stocks & Bases",100
359,358,"White Garlic",100
360,311,"Chicken Noodle Soup",100
361,311,"Bean Soup",100
362,234,"Garlic",100
363,16,"Pumpernickel Bread",100
1045,1044,"Crafts",100
365,232,"Radish",100
366,349,"Romaine, Red",100
367,349,"Red Lettuce",100
368,349,"Oakleaf Lettuce (Green)",100
369,349,"Butterhead Lettuce (Green)",100
370,31,"Maple Syrup",100
371,845,"Breakfast, Bulk",100
372,845,"Bratwurst",100
373,741,"Bacon",100
374,225,"Apple Butter",100
375,225,"Applesauce",100
376,234,"Garlic Scapes",100
377,238,"Pak Choi",100
378,238,"Kale",100
379,121,"Strawberries",100
1030,231,"Shanghai Cabbage",100
382,2,"Flowers & Plants",17
383,382,"Perennials",100
384,382,"Ornamental Shrubs",100
385,382,"Fresh or Dried Arrangements",100
386,385,"Hydrangea Stems, Fresh",100
387,385,"Hydrangea Stems, Dried",100
388,383,"Daylilies",100
389,383,"Daylilies",100
390,385,"Fresh Cut Bouquets",100
391,385,"Corn Tassel Wreaths",100
392,121,"Rhubarb",100
393,232,"Sweet Potatoes",100
394,475,"Sugar Snap Peas",100
395,474,"Royal Burgundy Beans",100
396,234,"Leeks",100
397,245,"Carrots",100
398,238,"Leafy Green Mix",100
399,228,"Heirloom Tomatoes",100
400,474,"Green Beans",100
401,225,"Pickles & Relishes",100
402,550,"Green Bell Peppers",100
403,240,"Eggplants",100
404,403,"Purple Eggplant",100
405,241,"Zucchini",100
406,241,"Summer Squash",100
407,406,"Yellow Summer Squash",100
408,243,"Sweet Corn",100
409,838,"Popcorn",100
410,232,"Florence Fennel",100
411,239,"Fennel",100
412,239,"Dill",100
413,346,"Basil, Lemon",100
414,285,"Slicing Cucumbers",100
415,285,"Asian Cucumber",100
416,385,"Sunflowers",100
417,385,"Stock",100
418,385,"Mullein",100
419,847,"Sausage",100
420,185,"Beef Tongue",100
421,185,"Beef Tenderloin",100
422,185,"Beef T-Bone Steak",100
423,185,"Beef Sirloin Steak",100
424,185,"Beef Short Ribs",100
425,185,"Beef Rump Roast",100
