KEY,CATEGORY
BAKED GOODS,Miscellaneous
BREAD,Miscellaneous
BAKING SUPPLIES,Miscellaneous
SNACKS,Miscellaneous
PIZZA,Miscellaneous
ENTREES,Miscellaneous
ETHNIC,Miscellaneous
CHOCOLATE & COCOA,Miscellaneous
PROTEIN - BEEF,Miscellaneous
BAKING MIXES,Miscellaneous
BAR SUPPLIES AND MIXES,Miscellaneous
CONDIMENTS,Miscellaneous
SYRUPS,Miscellaneous
BASES,Miscellaneous
SAUCES,Miscellaneous
BATTER AND BREADING,Miscellaneous
STUFFING,Miscellaneous
DAIRY,Miscellaneous
EGGS,Miscellaneous
VEGETARIAN,Miscellaneous
GRAINS AND LEGUMES,Miscellaneous
CEREALS,Miscellaneous
POLENTA,Miscellaneous
CHEESE,Miscellaneous
PROTEIN - DELI MEATS,Miscellaneous
NON COMMISSION,Miscellaneous
COFFEE  TEA  AND COCOA,Miscellaneous
BEVERAGES,Miscellaneous
CAPERS,Miscellaneous
CREAMER,Miscellaneous
DESSERTS,Miscellaneous
SALAD DRESSINGS,Miscellaneous
MAYONNAISE,Miscellaneous
APPETIZERS,Miscellaneous
PROTEIN - HOT DOGS,Miscellaneous
PASTA,Miscellaneous
TORTILLA,Miscellaneous
PROTEIN - SEAFOOD,Miscellaneous
VEGETABLES,Miscellaneous
SPICES,Miscellaneous
TOMATOES,Miscellaneous
HEALTHCARE,Miscellaneous
TOPPINGS,Miscellaneous
FRUIT,Miscellaneous
PORTION PACKS,Miscellaneous
JAMS  JELLY  AND PRESERV,Miscellaneous
NUT BUTTERS,Miscellaneous
PROTEIN - PORK,Miscellaneous
PROTEIN - TURKEY,Miscellaneous
PROTEIN - EXOTIC MEATS,Miscellaneous
PROTEIN - GYRO,Miscellaneous
PROTEIN - PHILLY SANDWIC,Miscellaneous
PROTEIN - VEAL,Miscellaneous
PROTEIN - MEATBALLS,Miscellaneous
PROTEIN - LAMB,Miscellaneous
PROTEIN - SAUSAGE,Miscellaneous
DISTILLED WATER,Miscellaneous
SALADS,Miscellaneous
NUTS,Miscellaneous
SHORTENING AND OILS,Miscellaneous
OLIVES,Miscellaneous
PROTEIN - CHICKEN,Miscellaneous
PROTEIN - GAME HENS,Miscellaneous
PROTEIN - DUCK,Miscellaneous
SOUPS,Miscellaneous
VINEGAR,Miscellaneous
FRESH PRODUCE,Miscellaneous
CUPS,Miscellaneous
GUEST CHECKS,Miscellaneous
DINING ROOM SUPPLIES,Miscellaneous
CONTAINERS,Miscellaneous
TRAYS,Miscellaneous
LIDS,Miscellaneous
FOOD WRAPS,Miscellaneous
ENVIRONMENTALLY FRIENDLY,Miscellaneous
FOOD PANS,Miscellaneous
APPAREL,Miscellaneous
FOOD SAFETY,Miscellaneous
KITCHEN SUPPLIES,Miscellaneous
BAGS,Miscellaneous
CAN LINERS,Miscellaneous
BACK OFFICE SUPPLIES,Miscellaneous
CORRUGATED CIRCLES,Miscellaneous
PAN LINERS,Miscellaneous
BOXES,Miscellaneous
SUNDAE DISH,Miscellaneous
BOWLS,Miscellaneous
PLATES,Miscellaneous
RESTROOM SUPPLIES,Miscellaneous
MOPS AND HANDLES,Miscellaneous
BROOMS,Miscellaneous
BRUSHES,Miscellaneous
DUST PANS,Miscellaneous
DUST MOPS AND HANDLES,Miscellaneous
WASTE RECEPTACLES,Miscellaneous
CHEMICAL-DISPENSED,Miscellaneous
SCOURING PADS,Miscellaneous
GRILL PADS,Miscellaneous
BUCKETS,Miscellaneous
SIGNS,Miscellaneous
PLUNGER,Miscellaneous
SQUEEGEES,Miscellaneous
JAVA JACKETS,Miscellaneous
BEVERAGE CARRIERS,Miscellaneous
CUTLERY,Miscellaneous
PICKS,Miscellaneous
SKEWERS,Miscellaneous
MARKERS,Miscellaneous
STIR STICKS,Miscellaneous
DOILIES,Miscellaneous
DISPENSERS,Miscellaneous
SPRAY BOTTLE,Miscellaneous
FILTERS,Miscellaneous
DEODORIZER,Miscellaneous
LEMON WRAPS,Miscellaneous
MATCH BOOKS,Miscellaneous
NAPKINS,Miscellaneous
COASTERS,Miscellaneous
PLACEMATS,Miscellaneous
FUEL,Miscellaneous
PASTRY CLOTH,Miscellaneous
LIGHT BULBS,Miscellaneous
CHEMICAL-NONDISPENSED,Miscellaneous
TWINE,Miscellaneous
STRAWS,Miscellaneous
TABLECOVER,Miscellaneous
WIPES,Miscellaneous
TOWELETTES,Miscellaneous
PLATTERS,Miscellaneous
MASKING TAPE,Miscellaneous
CHINA,Miscellaneous
GLASSWARE,Miscellaneous
SERVERS,Miscellaneous
TEXTILES,Miscellaneous
BAR SUPPLIES,Miscellaneous
BASKETS,Miscellaneous
BELL,Miscellaneous
STORAGE,Miscellaneous
CARTS,Miscellaneous
POTS AND PANS,Miscellaneous
PIZZA SUPPLIES,Miscellaneous
EQUIPMENT,Miscellaneous
MANDOLINES,Miscellaneous
FLATWARE,Miscellaneous
DROPSHIP,Miscellaneous
RACKS,Miscellaneous
TABLE SKIRT CLIPS,Miscellaneous
VALVES,Miscellaneous
PARTS,Miscellaneous
HOSES,Miscellaneous
WAREWASHING,Miscellaneous
SHAKERS,Miscellaneous
GRILL SCRAPERS,Miscellaneous
SQUEEZE BOTTLES,Miscellaneous
SWEEPERS,Miscellaneous
CHEMICAL-GREEN NON-DISP,Miscellaneous
CHEMICAL-GREEN DISPENSE,Miscellaneous
