KEY,CATEGORY
Baking products - DÉCOR,Baking Mixes
Baking products - EXTRACTS,Baking Mixes
Beans / Legumes - DRY,Beans
Beans / Legumes - FROZEN,Beans
Beverages - WATER,Water
Charcuterie - MISCELLANEOUS,Cured Meats
Charcuterie - SALAMI AND CURED MEATS,Cured Meats
Cheese - ASIAGO,Cheese
Cheese - BLUE CHEESE,Cheese
Cheese - CHEDDAR,Cheese
Cheese - GOAT,Cheese
Cheese - JACK CHEESE,Cheese
Cheese - MOZZARELLA,Cheese
Cheese - MUENSTER,Cheese
Cheese - PRESSED,Cheese
Cheese - RICOTTA,Cheese
Cheese - UNIQUE,Cheese
Chocolate - COCOA POWDER,Baking Mixes
Condiments - MUSTARD,Mustard
Condiments - PASTES & SPREADS,Sauces
Crackers - CRACKERS,Crackers
Crackers - MISCELLANEOUS,Crackers
Crackers - OTHER,Crackers
Dry Fruit & Nuts - NUTS,Nuts
Flour - FLOUR,Nuts
Flour - STARCH,Baking Mixes
Fruit - FRUIT,Dried Figs
Fruit - FRUIT,"Raisins, Black"
Meat - POULTRY,Fresh
Olives - CAPERS & CAPERBERRIES,Stone Fruit
Olives - OLIVE BLENDS,Stone Fruit
Olives - OLIVES MOROCCO,Stone Fruit
Pasta & Polenta - DRIED,Pasta
Pates - MISCELLANEOUS,Fresh
Pates - POULTRY,Fresh
Seafood - ANCHOVIES,Fish & Seafood > Fresh
Snacks & cookies - COOKIES,Cookies & Cakes
Spices - HERB,Dried Herbs
Spices - SALT,Sea Salts
Spices - SPICE,Herb Mix
Spices - VANILLA,Herb Mix
Sugars - SUGAR,Sugar
Supplies - FOILS/WRAPS,Packaging Supplies
Teas - LOOSE,"Coffee, Tea, & Cocoa"
Vegetable - MISCELLANEOUS,"Broccoli, Cauliflower & Cabbage"
Vinegar - BALSAMIC VINEGARS,Vinegars
