stripe.customer_id,customer_guid,stripe_account.funding_instrument.id,stripe.account_id,funding_instrument_guid,stripe_customer.funding_instrument.id
cus_5yNyg35UG33Gn3,CU6DoJVTMp6w2BKJc57D9C7o,,,,
cus_5uQ5n80GOr1WZF,CU15i1RVI6b3652r2bVhxoHl,,,,
cus_5vQtJewwi0cOCp,CU2XOIr8NQG1mcA5GGKz38oW,ba_15l24r2VpjOYk6Tmv47QJZXa,acct_15l1yPJUe6OYgeZg,BA5If7KB2JIy7rAO27SIZbET,ba_15l24q2VpjOYk6TmikSmZbJV
cus_5vQuN1IRmtAaUI,CU15MkkvMRVE3nR4cN2ceeTE,ba_15l24z2VpjOYk6Tm21ScyjWn,acct_15l1ySJGezXxf66n,BA14KjXwAGuqpmPBLRcVNyxt,ba_15l24y2VpjOYk6TmXqDwozwh
cus_5uQ4q97iBn01Ex,CU5vejPjKgEYwzyu8HlzOWCe,,,,
cus_5uQ4P8qtkC5f8J,CU2WLWhzOPLvETj9Dw0mIGAb,,,,
cus_5uQ4ndWL3nxSBF,CU5VvOuk6P5jV2PiXgVYhnzp,,,CC5TkwNSbLjVqAiLEUrff0Ey,card_15ic9N2VpjOYk6TmhO4mvCqK
cus_5uQ54SMFdy7EK3,CU6skMAwxm643n5CgTUVEY3N,,,,
cus_5uQ4y9HPeP1bcD,CU3QeYAEpjQVwPB2Zsf8rO63,,,,
cus_6121pvshxPhCdM,CU5wIkJiihFugXERYVB4k2aS,,,,
cus_5uQ4TdMTTaFZc3,CU37ZAbc1oSpm35zTh39llKH,,,,
cus_5uQ5BcrD2pcINe,CU3fBZBRWJ7qBHfMUzBy8EbZ,,,,
cus_5uQ5laiUytFACM,CUznRzBuSxqnl52DDFACria,,,,
cus_6DoQcoUuMrsD6y,CU6xV3UKwAhvD4vom1OGCPST,,,,
cus_5vQtVXS6oDg2DP,CU7zGLVLgPUn4jcn7iHCrXMT,,acct_15l1yQFRzE2S6qFY,,
cus_5uQ5MZJyxUeiih,CU7JtR6kwVQ9jcerlZpHN7kL,,,,
cus_5uQ4aBhVkdWg6B,CU1xZsm66VqbsftDl4WLRpRE,,,CC1wf4Bk6yDEm3iAfbV4hMlY,card_15ic992VpjOYk6Tm5lfcS86L
cus_5uQ4qzHkbks1yG,CU2ElNY4ckPOCovbE9zbgjiO,,,,
cus_5uQ4u55NS6pduF,CUCnWSe7hwxZRpmkM4R260i,,,,
cus_5uQ57i5ZjZ3l65,CU55nBoV6Ikb81vK6yRSprRN,,acct_15l1ydImG21xRxKF,,
cus_5vOTh0WVUZ6eou,CUtcJtvVk1vR1inkDXr0aE2,,,,
cus_5uQ4KxTWMTTInf,CU230HhLfHA0IeVl90tOcRTB,,acct_15l1yTEfmlDtMdOr,,
cus_5uS7gMU3fLdXCw,CU5KdSqUtPDS5ZmoS5GE3wBA,,,,
cus_5uS78J4nv5aiHu,CU6ZkD16jV02AbzZGbzCYlYL,,,,
cus_5uQ5kXvO79v8wU,CU753NpvwbAdA08UZeJfNZOG,,,CC74aijttj2dBc5AG3HGz2Bs,card_15ic9X2VpjOYk6TmtlRc8LGb
cus_68AZWpZTXp9pTS,CU4ZNPG0bxBqRWgOwoXTIYwD,,,,
cus_5uQ4sE3NkG42jm,CU6tSqNtgGEyupP0ngEFdDEe,,,,
cus_5uQ5p21FCPqkGu,CU6PHe1wyki3yT1cpwu5jcR9,,,,
